번호,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
145,강북구,수유2동,2,1,1,1,1,1,66,22,240,31,0.041085575,23,3,1,1
146,강북구,수유3동,3,1,1,1,1,1,26,75,568,46,0.051897568,29,4,1,1
147,강북구,삼양동,4,1,1,1,1,1,50,9,121,26,0.06559276,37,5,1,1
148,강북구,미아동,4,1,1,1,1,1,27,19,273,38,0.067034359,38,5,1,1
149,강북구,송중동,4,2,1,1,1,1,72,42,479,65,0.072800755,41,6,1,1
150,강북구,송천동,4,1,1,1,1,1,53,19,403,54,0.06487196,37,5,1,1
151,강북구,삼각산동,3,1,1,1,1,1,41,7,87,23,0.044689573,25,4,1,1
152,강북구,우이동,36,11,7,6,4,2,21,20,268,18,0.740981945,413,51,7,4
153,강북구,인수동,12,4,2,2,1,1,55,10,180,19,0.236422255,132,17,3,1
155,도봉구,쌍문1동,5,2,2,1,1,1,55,6,157,22,0.121539206,54,9,2,1
156,도봉구,쌍문2동,3,1,1,1,1,1,76,17,195,36,0.052928364,24,4,1,1
157,도봉구,쌍문3동,2,1,1,1,1,1,57,7,157,29,0.049007744,22,4,1,1
158,도봉구,쌍문4동,2,1,1,1,1,1,103,5,75,10,0.050968054,23,4,1,1
159,도봉구,방학1동,3,2,1,1,1,1,64,42,424,52,0.067630687,31,5,1,1
160,도봉구,방학2동,3,2,1,1,1,1,52,11,159,18,0.072531462,33,6,2,1
161,도봉구,방학3동,11,4,3,2,2,1,89,7,106,24,0.258760891,115,20,4,1
162,도봉구,창1동,4,2,1,1,1,1,43,16,124,32,0.08625363,39,7,2,1
163,도봉구,창2동,5,2,2,1,1,1,81,16,190,29,0.104876573,47,8,2,1
164,도봉구,창3동,3,2,1,1,1,1,40,12,201,24,0.065670378,30,5,1,1
165,도봉구,창4동,4,2,2,1,1,1,87,15,158,32,0.094094869,42,7,2,1
166,도봉구,창5동,3,2,1,1,1,1,97,23,192,52,0.068610842,31,6,1,1
167,도봉구,도봉1동,34,14,10,6,5,1,42,34,341,33,0.854695063,380,63,13,3
168,도봉구,도봉2동,4,2,1,1,1,1,45,9,217,18,0.081352856,37,6,2,1
170,노원구,월계1동,6,3,2,1,1,1,59,33,346,42,0.063221366,52,9,2,1
171,노원구,월계2동,10,4,3,2,2,1,40,4,125,19,0.105732285,87,15,3,1
172,노원구,월계3동,6,3,2,1,1,1,77,6,101,36,0.063766378,53,9,2,1
173,노원구,공릉2동,35,14,9,6,5,1,93,38,340,26,0.371698032,304,51,8,3
174,노원구,하계1동,8,4,2,2,2,1,48,5,159,23,0.084476825,69,12,2,1
175,노원구,하계2동,3,2,1,1,1,1,35,5,39,16,0.027795601,23,4,1,1
176,노원구,중계본동,11,4,3,2,2,1,184,13,181,34,0.10736732,88,15,3,1
177,노원구,중계1동,4,2,1,1,1,1,150,8,114,20,0.034335742,29,5,1,1
178,노원구,중계4동,9,4,3,2,2,1,69,19,239,37,0.092652002,76,13,2,1
179,노원구,상계1동,29,12,7,5,4,1,105,30,364,41,0.306296619,250,42,7,2
180,노원구,상계2동,4,2,1,1,1,1,72,54,547,60,0.033245718,28,5,1,1
181,노원구,상계5동,3,1,1,1,1,1,77,18,195,25,0.023980518,20,4,1,1
182,노원구,상계8동,4,2,1,1,1,1,81,5,92,29,0.036515789,30,5,1,1
183,노원구,상계9동,5,2,1,1,1,1,58,6,53,25,0.044145954,37,7,1,1
184,노원구,상계10동,5,2,1,1,1,1,52,5,35,7,0.043600942,36,6,1,1
185,노원구,상계3.4동,29,12,7,5,4,1,62,25,217,34,0.306296619,250,42,7,2
186,노원구,상계6.7동,6,3,2,1,1,1,153,32,318,140,0.060496307,50,9,2,1
187,노원구,중계2.3동,5,2,2,1,1,1,95,14,290,67,0.04905106,41,7,2,1
188,노원구,공릉1동,8,3,2,2,1,1,72,37,474,61,0.076846661,63,11,2,1
190,은평구,녹번동,8,4,2,2,2,1,66,15,324,30,0.128356724,151,11,2,1
191,은평구,불광1동,14,6,4,2,2,1,64,17,226,37,0.224444997,264,19,3,1
192,은평구,갈현1동,5,2,2,1,1,1,97,90,676,66,0.069556437,82,6,1,1
193,은평구,갈현2동,5,2,2,1,1,1,147,43,485,50,0.06883936,81,6,1,1
194,은평구,구산동,7,3,2,1,1,1,85,3,163,36,0.09895658,117,9,2,1
195,은평구,대조동,4,2,1,1,1,1,75,45,623,133,0.060951517,72,6,1,1
196,은평구,응암1동,6,3,2,1,1,1,98,23,345,74,0.0860492,102,8,1,1
197,은평구,응암2동,4,2,1,1,1,1,24,2,54,6,0.05593198,66,5,1,1
198,은평구,신사1동,4,2,1,1,1,1,61,22,154,22,0.06023444,71,6,1,1
199,은평구,신사2동,5,2,2,1,1,1,38,3,86,9,0.071707667,85,7,1,1
200,은평구,증산동,4,2,1,1,1,1,51,14,149,14,0.05808321,69,5,1,1
201,은평구,수색동,6,3,2,1,1,1,20,7,89,12,0.09250289,109,8,1,1
202,은평구,진관동,51,20,13,7,7,1,212,9,514,78,0.826789399,973,70,9,4
203,은평구,불광2동,7,3,2,1,1,1,104,23,402,72,0.09895658,117,9,2,1
204,은평구,응암3동,3,2,1,1,1,1,67,38,472,57,0.04517583,54,4,1,1
205,은평구,역촌동,6,2,2,1,1,1,124,21,411,46,0.083180894,98,8,1,1
207,서대문구,천연동,7,2,1,1,1,1,52,8,189,44,0.113807369,149,7,2,1
208,서대문구,홍제1동,9,2,2,1,1,1,59,16,176,43,0.144312437,189,9,2,1
209,서대문구,홍제3동,6,2,1,1,1,1,34,16,203,32,0.095035019,125,6,1,1
210,서대문구,홍제2동,8,2,2,1,1,1,37,9,104,23,0.123193544,162,8,2,1
211,서대문구,홍은1동,11,3,2,2,1,1,49,7,185,19,0.185376951,243,12,2,1
212,서대문구,홍은2동,14,4,3,2,1,1,63,12,235,21,0.241694,317,15,3,1
213,서대문구,남가좌1동,4,1,1,1,1,1,7,3,121,24,0.059836864,79,4,1,1
214,서대문구,남가좌2동,6,2,1,1,1,1,36,16,239,26,0.090341932,119,6,1,1
215,서대문구,북가좌1동,4,1,1,1,1,1,29,3,54,23,0.064529951,85,4,1,1
216,서대문구,북가좌2동,6,2,1,1,1,1,67,15,240,43,0.098554835,129,7,2,1
217,서대문구,충현동,8,2,2,1,1,1,58,21,544,51,0.131406447,172,9,2,1
218,서대문구,북아현동,4,1,1,1,1,1,37,4,140,20,0.053970505,71,4,1,1
219,서대문구,신촌동,18,4,3,3,2,1,165,150,2187,137,0.308570495,404,19,4,1
220,서대문구,연희동,21,5,4,3,2,1,80,14,399,38,0.357847912,468,22,4,1
222,마포구,용강동,6,1,1,1,1,1,53,23,291,24,0.077024884,62,7,2,1
223,마포구,대흥동,6,2,1,1,1,1,76,35,350,83,0.080692735,65,7,2,1
224,마포구,염리동,3,1,1,1,1,1,29,7,138,13,0.039429405,32,4,1,1
225,마포구,신수동,5,1,1,1,1,1,41,9,154,22,0.071523106,58,6,2,1
226,마포구,서교동,10,2,2,1,1,1,232,116,2463,162,0.151298879,121,12,3,1
227,마포구,합정동,11,3,2,2,1,1,33,10,414,22,0.157717619,126,13,3,1
228,마포구,망원1동,7,2,2,1,1,1,27,14,293,35,0.103616808,83,9,2,1
229,마포구,망원2동,4,1,1,1,1,1,49,11,185,12,0.061436514,49,5,2,1
230,마포구,연남동,4,1,1,1,1,1,24,7,480,12,0.058685626,47,5,2,1
231,마포구,성산1동,5,1,1,1,1,1,45,4,177,13,0.073357032,59,6,2,1
232,마포구,성산2동,13,3,2,2,1,1,100,8,235,36,0.189811321,152,16,4,1
233,마포구,상암동,51,10,8,5,4,1,70,11,447,43,0.770248838,614,61,15,3
234,마포구,도화동,4,1,1,1,1,1,49,19,320,61,0.0568517,46,5,2,1
235,마포구,서강동,9,2,2,1,1,1,84,17,557,25,0.132959621,106,11,3,1
236,마포구,공덕동,7,2,1,1,1,1,52,21,207,33,0.092613253,74,8,2,1
237,마포구,아현동,5,1,1,1,1,1,43,6,305,54,0.069689181,56,6,2,1
239,양천구,목1동,10,5,3,2,2,0,289,70,749,130,0.155901781,203,16,3,1
240,양천구,목2동,8,3,2,2,1,0,56,17,161,16,0.113885698,148,12,3,1
241,양천구,목3동,4,2,1,1,1,0,52,28,167,41,0.058601379,77,6,2,1
242,양천구,목4동,4,2,1,1,1,0,100,17,202,31,0.063024124,82,7,2,1
243,양천구,신월1동,5,2,2,1,1,0,50,17,204,11,0.071869615,94,8,2,1
244,양천구,신월2동,5,2,2,1,1,0,57,6,75,13,0.06744687,88,7,2,1
245,양천구,신월3동,7,3,2,1,1,0,32,3,87,12,0.096194716,125,10,2,1
246,양천구,신월4동,4,2,1,1,1,0,57,9,131,15,0.057495692,75,6,2,1
247,양천구,신월5동,5,2,2,1,1,0,53,17,142,14,0.076292361,100,8,2,1
248,양천구,신월6동,3,2,1,1,1,0,16,9,68,8,0.045333142,59,5,1,1
249,양천구,신월7동,9,4,3,2,1,0,51,14,124,16,0.13157668,171,14,3,1
250,양천구,신정1동,5,3,2,1,1,0,59,10,154,21,0.077398047,101,8,2,1
251,양천구,신정2동,4,2,1,1,1,0,176,7,182,39,0.057495692,75,6,2,1
252,양천구,신정3동,19,8,5,3,3,0,122,23,195,39,0.300746697,391,31,6,2
253,양천구,신정6동,7,3,2,2,1,0,110,1,74,17,0.106145893,138,11,2,1
254,양천구,신정7동,9,4,3,2,1,0,79,11,117,26,0.133788053,174,14,3,1
255,양천구,목5동,13,6,4,2,2,0,356,11,164,25,0.200129236,260,21,4,1
256,양천구,신정4동,8,3,2,2,1,0,166,88,475,102,0.111674325,145,12,3,1
258,강서구,염창동,8,2,2,1,1,1,144,32,219,41,0.08110154,51,11,2,1
259,강서구,등촌1동,3,1,1,1,1,1,68,32,331,71,0.027499948,18,4,1,1
260,강서구,등촌2동,4,2,1,1,1,1,42,6,90,10,0.042881274,27,6,1,1
261,강서구,등촌3동,4,1,1,1,1,1,191,56,524,102,0.036821964,23,5,1,1
262,강서구,화곡본동,5,2,1,1,1,1,69,21,179,27,0.051737189,33,7,1,1
263,강서구,화곡2동,2,1,1,1,1,1,47,9,55,10,0.021906738,14,3,1,1
264,강서구,화곡3동,3,1,1,1,1,1,110,37,206,35,0.023771141,15,4,1,1
265,강서구,화곡4동,4,1,1,1,1,1,58,40,205,20,0.038220266,24,5,1,1
266,강서구,화곡6동,5,2,1,1,1,1,69,136,681,55,0.05220329,33,7,1,1
267,강서구,화곡8동,3,1,1,1,1,1,43,26,170,39,0.024703343,16,4,1,1
268,강서구,가양1동,20,6,5,3,3,1,77,46,976,49,0.219067379,137,29,4,2
269,강서구,가양2동,5,2,1,1,1,1,14,13,102,45,0.046610081,30,7,1,1
270,강서구,가양3동,5,2,1,1,1,1,33,0,63,14,0.04614398,29,6,1,1
271,강서구,발산1동,13,4,3,2,2,1,164,40,356,67,0.137965839,86,18,2,1
272,강서구,공항동,45,13,10,6,7,1,31,33,301,25,0.506651576,316,66,8,3
273,강서구,방화1동,5,2,1,1,1,1,81,35,333,63,0.048474484,31,7,1,1
274,강서구,방화2동,27,8,6,4,4,1,47,35,285,9,0.298770617,186,39,5,2
275,강서구,방화3동,10,3,3,2,2,1,27,4,79,10,0.110931992,70,15,2,1
276,강서구,화곡1동,5,2,1,1,1,1,74,58,430,55,0.05220329,33,7,1,1
277,강서구,우장산동,6,2,2,1,1,1,109,18,182,60,0.06338971,40,9,1,1
279,구로구,신도림동,8,3,2,1,2,1,130,17,360,42,0.151602883,201,17,3,1
280,구로구,구로1동,6,2,2,1,1,1,62,6,101,22,0.105193837,140,12,2,1
281,구로구,구로3동,6,2,2,1,1,1,107,69,801,57,0.105193837,140,12,2,1
282,구로구,구로4동,3,1,1,1,1,1,72,43,362,39,0.047440358,63,6,1,1
283,구로구,구로5동,6,2,2,1,1,1,81,40,459,38,0.106225149,141,12,2,1
