번호,자치구,동,공원수,유치원,초등학교,중학교,고등학교,특수학교,학원,여가시설,음식점,의료시설,공기오염도,cctv,노인복지시설,체육시설,공공도서관
356,관악구,은천동,3,1,1,1,1,1,115,28,270,35,0.059322021,86,4,1,1
357,관악구,성현동,3,1,1,1,1,1,117,14,85,29,0.051716634,75,4,1,1
358,관악구,청룡동,5,2,1,1,1,1,79,35,322,39,0.089743571,129,6,2,1
359,관악구,난곡동,4,2,1,1,1,1,53,18,91,29,0.073011719,105,5,1,1
360,관악구,삼성동,10,4,2,2,2,1,57,5,142,17,0.202303304,290,13,3,1
361,관악구,미성동,6,2,2,1,1,1,82,17,178,30,0.104954346,151,7,2,1
363,서초구,서초1동,6,1,1,1,1,1,93,40,391,69,0.06064838,57,5,2,1
364,서초구,서초2동,5,1,1,1,1,1,91,49,617,91,0.052960557,50,5,2,1
365,서초구,서초3동,12,2,2,1,1,1,165,113,1059,122,0.12514067,117,10,3,1
366,서초구,서초4동,4,1,1,1,1,1,200,77,965,312,0.037584911,35,3,1,1
367,서초구,잠원동,7,1,1,1,1,1,124,45,481,97,0.075169822,70,6,2,1
368,서초구,반포본동,4,1,1,1,1,1,110,2,123,18,0.043137228,41,4,1,1
369,서초구,반포1동,4,1,1,1,1,1,78,39,310,121,0.042710126,40,4,1,1
370,서초구,반포2동,6,1,1,1,1,1,98,4,84,42,0.057658671,54,5,2,1
371,서초구,반포3동,5,1,1,1,1,1,161,12,207,107,0.054668962,51,5,2,1
372,서초구,반포4동,6,1,1,1,1,1,225,28,779,88,0.061075481,57,5,2,1
373,서초구,방배본동,3,1,1,1,1,1,98,30,319,48,0.028615785,27,3,1,1
374,서초구,방배1동,3,1,1,1,1,1,119,45,332,67,0.029897088,28,3,1,1
375,서초구,방배2동,8,2,1,1,1,1,109,35,429,43,0.082430544,77,7,2,1
376,서초구,방배3동,10,2,2,1,1,1,83,8,129,27,0.102504303,96,8,3,1
377,서초구,방배4동,4,1,1,1,1,1,141,38,361,127,0.041855924,39,4,1,1
378,서초구,양재1동,22,4,3,2,2,1,112,42,578,70,0.246010328,230,19,6,1
379,서초구,양재2동,29,5,4,3,2,1,73,62,677,28,0.323742758,302,25,7,2
380,서초구,내곡동,48,8,7,5,3,1,23,3,97,18,0.541564403,505,42,12,2
382,강남구,신사동(강남),8,2,2,2,2,1,0,0,0,0,0.087634838,228,10,2,1
383,강남구,논현1동,5,2,1,1,1,1,130,111,1036,269,0.057959549,151,7,2,1
384,강남구,논현2동,6,2,2,1,1,1,99,94,1073,209,0.068160429,178,8,2,1
385,강남구,삼성1동,8,2,2,2,2,1,42,44,995,79,0.08995322,234,10,2,1
386,강남구,삼성2동,5,2,1,1,1,1,90,35,509,101,0.057495872,150,7,2,1
387,강남구,대치1동,4,1,1,1,1,1,476,36,335,134,0.036630435,96,4,1,1
388,강남구,대치4동,3,1,1,1,1,1,777,150,1216,170,0.033848376,88,4,1,1
389,강남구,역삼1동,10,3,2,2,2,1,519,347,3996,586,0.108963952,284,12,3,1
390,강남구,역삼2동,5,2,1,1,1,1,88,37,626,108,0.053322785,139,6,2,1
391,강남구,도곡1동,5,2,1,1,1,1,100,19,270,104,0.047294992,123,6,1,1
392,강남구,도곡2동,5,2,1,1,1,1,160,29,487,94,0.047294992,123,6,1,1
393,강남구,개포1동,5,2,1,1,1,1,26,0,20,6,0.058886901,153,7,2,1
394,강남구,개포4동,6,2,2,1,1,1,47,12,198,31,0.069087782,180,8,2,1
395,강남구,일원본동,11,3,3,2,2,1,62,3,91,29,0.119628509,311,13,3,1
396,강남구,일원1동,4,1,1,1,1,1,33,24,140,26,0.042658228,111,5,1,1
397,강남구,일원2동,5,2,1,1,1,1,39,4,71,33,0.057495872,150,7,2,1
398,강남구,수서동,6,2,2,1,1,1,37,9,224,32,0.066305724,173,8,2,1
399,강남구,세곡동,25,7,5,4,4,1,57,6,211,35,0.294898184,767,32,6,3
400,강남구,압구정동,10,3,2,2,2,1,246,79,1228,403,0.117310127,305,13,3,1
401,강남구,청담동,10,3,2,2,2,1,170,58,780,250,0.108036599,281,12,3,1
402,강남구,대치2동,8,3,2,2,2,1,471,73,902,99,0.092735278,241,10,2,1
403,강남구,개포2동,10,3,2,2,2,1,184,24,192,38,0.116382774,303,13,3,1
405,송파구,풍납1동,4,2,1,1,1,1,24,11,126,10,0.045616231,28,5,2,1
406,송파구,풍납2동,8,3,2,2,1,1,60,14,129,31,0.094194555,57,9,3,1
407,송파구,거여1동,3,1,1,1,1,1,38,15,98,6,0.030213348,19,3,1,1
408,송파구,거여2동,3,1,1,1,1,1,34,15,84,24,0.031398185,19,3,1,1
409,송파구,마천1동,3,1,1,1,1,1,27,13,93,9,0.034360278,21,4,1,1
410,송파구,마천2동,5,2,1,1,1,1,42,15,175,32,0.052725254,32,5,2,1
411,송파구,방이1동,3,1,1,1,1,1,105,15,224,30,0.029620929,18,3,1,1
412,송파구,방이2동,4,2,1,1,1,1,88,69,580,52,0.047393487,29,5,2,1
413,송파구,오륜동,16,5,4,3,2,1,7,1,47,13,0.187796691,113,18,5,2
414,송파구,오금동,9,3,2,2,1,1,154,25,249,31,0.097749066,59,10,3,1
415,송파구,송파1동,4,2,1,1,1,1,106,36,396,45,0.046801068,29,5,2,1
416,송파구,송파2동,3,1,1,1,1,1,76,2,97,33,0.031398185,19,3,1,1
417,송파구,석촌동,5,2,2,1,1,1,109,51,393,53,0.056279765,34,6,2,1
418,송파구,삼전동,5,2,2,1,1,1,128,32,299,47,0.056279765,34,6,2,1
419,송파구,가락본동,6,2,2,1,1,1,63,93,470,44,0.0669433,41,7,2,1
420,송파구,가락1동,7,3,2,2,1,1,5,0,65,6,0.07938409,48,8,2,1
421,송파구,가락2동,5,2,2,1,1,1,101,24,198,44,0.056872184,35,6,2,1
422,송파구,문정1동,3,1,1,1,1,1,59,22,205,19,0.033175441,20,4,1,1
423,송파구,문정2동,11,4,3,2,2,1,25,13,764,51,0.130332088,79,13,3,1
424,송파구,장지동,7,3,2,2,1,1,101,16,170,30,0.081161346,49,8,2,1
425,송파구,위례동,13,4,3,3,2,1,17,0,180,11,0.151066739,91,15,4,1
426,송파구,잠실본동,5,2,2,1,1,1,140,102,666,130,0.055687347,34,6,2,1
427,송파구,잠실4동,8,3,2,2,1,1,23,3,50,30,0.092417299,56,9,3,1
428,송파구,잠실6동,14,5,4,3,2,1,81,16,564,86,0.165284785,100,16,4,1
429,송파구,잠실7동,3,1,1,1,1,1,11,1,33,17,0.035545115,22,4,1,1
430,송파구,잠실2동,11,4,3,2,2,1,110,1,178,73,0.129147251,78,13,3,1
431,송파구,잠실3동,8,3,2,2,1,1,63,3,292,69,0.088270369,53,9,2,1
433,강동구,강일동,15,5,3,3,2,1,73,3,86,28,0.239121594,171,16,4,1
434,강동구,상일동,14,5,3,2,2,1,36,12,153,12,0.226311509,161,15,4,1
435,강동구,명일1동,4,1,1,1,1,1,113,40,310,60,0.052094347,38,4,1,1
436,강동구,명일2동,5,2,2,1,1,1,152,20,124,26,0.082838552,59,6,2,1
437,강동구,고덕1동,9,3,2,2,1,1,36,5,99,9,0.147742985,106,10,3,1
438,강동구,고덕2동,11,4,3,2,2,1,21,10,86,4,0.171655144,123,12,3,1
439,강동구,암사2동,6,2,2,1,1,1,64,8,112,30,0.100772672,72,7,2,1
440,강동구,암사3동,13,4,3,2,2,1,77,3,62,32,0.214355429,153,15,4,1
441,강동구,천호1동,4,2,1,1,1,1,56,10,195,24,0.060634404,44,4,2,1
442,강동구,천호3동,4,2,1,1,1,1,52,59,435,65,0.06746645,48,5,2,1
443,강동구,성내1동,3,1,1,1,1,1,79,18,277,13,0.04953233,36,4,1,1
444,강동구,성내2동,4,2,1,1,1,1,84,58,480,49,0.057218381,41,4,1,1
445,강동구,성내3동,4,2,1,1,1,1,108,61,431,61,0.060634404,44,4,2,1
446,강동구,둔촌1동,5,2,1,1,1,1,10,1,7,3,0.078568524,56,6,2,1
447,강동구,둔촌2동,5,2,2,1,1,1,145,29,274,34,0.083692558,60,6,2,1
448,강동구,암사1동,6,2,2,1,1,1,112,41,348,33,0.087108581,62,6,2,1
449,강동구,천호2동,8,3,2,2,1,1,104,73,752,115,0.134078894,96,9,3,1
450,강동구,길동,11,4,3,2,2,1,263,109,796,107,0.185319235,132,13,4,1
