0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.110566624,-1.063078466,-0.983196381,-0.981697149,0.474952942,2.520151051,-0.472657321,-0.07023867,1.096975254,-0.088894033,-0.177448201,0.040853658,-1.164825343,-0.920912647,0.011884711
-1.774988557,-1.881793237,-2.028193009,-2.039476985,-1.362826357,0.081685183,-0.905314282,-0.807555684,0.02218204,-0.599712022,-1.837831779,-1.285485699,-1.970656934,-1.852334527,-1.546681293
0.044297407,-0.986902187,-0.885965993,-0.883277363,0.645946789,2.747035019,-0.472657321,-0.679326638,-0.385703474,-0.599712022,-0.022959913,0.164261223,-1.089847763,-0.834249678,0.15689951
2.065590554,0.007354453,0.383089935,0.40130264,2.877767113,5.708336025,-0.184219347,-0.454925808,-0.284476412,-0.435520526,1.993429008,1.774982999,-0.111236606,0.296879769,2.049639998
-0.3782811,-1.194764904,-1.151279196,-1.151836083,0.179354745,2.127935232,-0.717829599,-0.679326638,-0.73106639,-0.508494524,-0.444513126,-0.172481819,-1.294439581,-1.070727496,-0.238803335
0.109027641,-0.955061944,-0.845325531,-0.842139756,0.717418981,2.841868223,-0.890892383,-0.615212115,-0.504794134,-0.435520526,0.041613267,0.21584325,-1.058508553,-0.798026198,0.217512952
-1.413476309,-1.703968485,-1.801219864,-1.809727328,-0.963660909,0.611319683,-0.818782889,-0.551097592,-0.227908348,-0.617955521,-1.477196661,-0.997404947,-1.795630407,-1.650029804,-1.20816094
-0.41858483,-1.214589961,-1.176583635,-1.177450065,0.134853192,2.068888142,1.70504938,3.359888312,4.848331071,1.753699425,-0.484719068,-0.20459893,-1.313952674,-1.093281739,-0.27654378
-1.084451309,-1.54212393,-1.59464363,-1.600624094,-0.60036641,1.093358651,-1.063955167,-0.871670207,-0.921611447,-0.800390517,-1.148969968,-0.735212532,-1.636332615,-1.465905168,-0.900061673
-0.464995186,-1.237418814,-1.205722079,-1.206944953,0.083608979,2.000894524,-0.544766814,0.538849299,0.35563589,-0.25308553,-0.53101682,-0.241582269,-1.336422296,-1.119253291,-0.320002473
-1.031690062,-1.516171128,-1.561517819,-1.567093063,-0.542109831,1.170656659,-0.688985801,-0.454925808,-0.382726207,-0.435520526,-1.096336735,-0.693168314,-1.610788203,-1.436379613,-0.850656
-0.143053873,-1.079058663,-1.003593292,-1.00234357,0.439081993,2.472555518,-0.91973618,-0.486983069,-0.65365746,-0.599712022,-0.209856627,0.01496532,-1.180554078,-0.939092734,-0.018536375
-0.745167179,-1.375232997,-1.381626266,-1.385000937,-0.225744243,1.590427786,-0.905314282,-0.871670207,-0.862066117,-0.727416519,-0.810509037,-0.464844853,-1.472067854,-1.276039451,-0.582355747
-0.914931377,-1.458738539,-1.488211628,-1.492890134,-0.41319018,1.341714288,-0.847626687,-0.807555684,-0.692361925,-0.581468522,-0.979861339,-0.600126017,-1.554259365,-1.371040656,-0.741323075
-0.061713617,-1.039048094,-0.952524334,-0.950649898,0.528894218,2.59172328,-0.631298207,-0.326696762,-0.394635273,-0.435520526,-0.128713725,0.079783489,-1.141173109,-0.893574171,0.057630704
0.638838497,-0.69445256,-0.512687186,-0.505432321,1.302412127,3.618069055,-0.616876308,-0.7113839,-0.195158416,-0.563225023,0.570138653,0.638037272,-0.802000082,-0.501540425,0.713628253
2.373364495,0.158745796,0.576323829,0.59690032,3.217597157,6.159241072,-0.314016436,0.218276684,0.70695334,-0.289572529,2.300456203,2.020240937,0.037772464,0.469112168,2.337839758
-1.896738968,-1.927199703,-2.0118006,-2.005176262,-1.389375612,-0.982236012,-0.7034077,-0.262582239,1.335156576,0.148271461,-1.653173197,-1.406379435,-2.025910174,-1.594205695,-1.639643202
-1.347076979,-1.643656818,-1.582280612,-1.554299304,-0.684360183,-0.982236012,-0.847626687,0.090047638,1.037429924,0.549628452,-0.826477508,-0.990076237,-1.756433085,-0.989922343,-1.105801566
-1.768107343,-1.860845138,-1.911284547,-1.899662261,-1.224388253,-0.982236012,-0.458235422,1.276166314,3.091743823,2.173299915,-1.459710283,-1.308956368,-1.96284728,-1.452791606,-1.514713849
-1.541016944,-1.74370066,-1.733830279,-1.713384457,-0.933114273,-0.982236012,-0.732251497,-0.166410454,0.028136573,-0.362546527,-1.118164647,-1.136962558,-1.851514023,-1.203134634,-1.294159558
-1.403849579,-1.672942938,-1.626644179,-1.600868755,-0.757178678,-0.982236012,-0.934158079,-0.486983069,-0.418453405,-0.69092952,-0.911863917,-1.033074689,-1.7842664,-1.052336586,-1.160940139
-1.218246849,-1.577199855,-1.481609441,-1.448622473,-0.519118214,-0.982236012,-0.732251497,0.057990376,0.769475937,-0.015920035,-0.63271604,-0.892502825,-1.693272872,-0.848290022,-0.98067942
-2.105566852,-2.034923471,-2.17498407,-2.176473683,-1.657225461,-0.982236012,-0.804360991,-0.198467716,0.09065917,-0.417277026,-1.967251877,-1.564541575,-2.128290057,-1.823785357,-1.84246061
-0.31722996,-1.112410706,-0.777531714,-0.709535976,0.636557133,-0.982236012,-0.818782889,-0.615212115,-0.433339738,-0.490251024,0.722420014,-0.210090323,-1.251540657,0.142263295,-0.105595569
0.222506749,-0.833987772,-0.355767595,-0.26680053,1.328842056,-0.982236012,-0.991845674,-0.551097592,-0.469066936,-0.544981523,1.534188009,0.198695663,-0.986929533,0.735635065,0.418606457
0.058739634,-0.918466963,-0.483739422,-0.401135485,1.118788704,-0.982236012,-0.818782889,-0.615212115,-0.472044203,-0.344303028,1.287881059,0.074661666,-1.067217939,0.55559398,0.259552882
