0,1,2,3,4,5,6,7,8,9
0.062123225,0.071932155,0.13068356,0.152855829,0.159190763,0.162256054,0.122918157,0.079799734,0.047001124,0.009298048
0.04675412,0.079717457,0.117726203,0.143289607,0.143962328,0.152371342,0.150353179,0.100571813,0.05247225,0.010090817
0.056424527,0.090298436,0.146435083,0.13108147,0.162460417,0.16629882,0.123500624,0.077631705,0.037424431,0.007388926
0.064612751,0.089056483,0.134948652,0.122325631,0.151583226,0.179878049,0.131846384,0.075577664,0.040489944,0.008344031
0.083994937,0.117938097,0.109193419,0.113220573,0.182027385,0.162351858,0.113910942,0.075020136,0.034748591,0.005638016
0.08487741,0.081602096,0.122309564,0.172187909,0.175650384,0.152348868,0.106494479,0.068968744,0.029571402,0.004585439
0.04895576,0.078149562,0.111834718,0.13518976,0.178531327,0.16258702,0.135414327,0.100606333,0.03817651,0.008309005
0.032254281,0.034600047,0.128547971,0.14168426,0.145906639,0.18566737,0.172296505,0.10110251,0.042692939,0.010673235
0.021724138,0.047068966,0.235344828,0.131206897,0.115689655,0.175344828,0.137586207,0.093103448,0.034655172,0.006724138
0.03346929,0.060580614,0.247240883,0.163627639,0.128358925,0.138555662,0.11084453,0.073416507,0.036588292,0.005758157
0.028424202,0.045711436,0.154587766,0.106715426,0.126496011,0.2265625,0.174700798,0.093085106,0.034740691,0.007480053
0.029625026,0.059146468,0.170913611,0.113010151,0.135695049,0.218873006,0.147917962,0.08659623,0.031903874,0.004972032
0.057309779,0.077618584,0.14452636,0.141744332,0.141187926,0.181944638,0.138684101,0.076505773,0.03268883,0.006259563
0.05066215,0.06144133,0.139513397,0.142439175,0.157530028,0.187249769,0.137665537,0.082383739,0.03433939,0.00538959
0.030439571,0.039251026,0.207469711,0.160809052,0.132772604,0.178031441,0.137478722,0.076199059,0.030739962,0.005006508
0.068611435,0.095449242,0.130299494,0.138156359,0.174095683,0.158381953,0.108129133,0.080280047,0.039284325,0.005834306
0.036229705,0.081729806,0.352475446,0.116556424,0.116556424,0.117157747,0.079825616,0.062637803,0.031218681,0.004509922
0.090311987,0.068308703,0.087684729,0.217077176,0.228571429,0.147126437,0.099835796,0.039408867,0.016091954,0.003612479
0.04127967,0.043171655,0.097007224,0.11627107,0.138458892,0.192122463,0.196594427,0.102855177,0.0500516,0.014791882
0.036826428,0.051990252,0.129704847,0.150013539,0.154075278,0.173842405,0.159490929,0.094503114,0.039534254,0.007581912
