0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-0.1105666236,-1.063078466,-0.9831963808,-0.9816971485,0.4749529416,2.520151051,-0.472657321,-0.07023866967,1.096975254,-0.08889403335,-0.1774482006,0.04085365766,-1.164825343,-0.9209126474,0.01188471051
-1.774988557,-1.881793237,-2.028193009,-2.039476985,-1.362826357,0.08168518325,-0.9053142815,-0.8075556844,0.02218203996,-0.5997120217,-1.837831779,-1.285485699,-1.970656934,-1.852334527,-1.546681293
0.04429740718,-0.9869021865,-0.8859659931,-0.8832773634,0.6459467888,2.747035019,-0.472657321,-0.6793266383,-0.3857034735,-0.5997120217,-0.02295991341,0.1642612233,-1.089847763,-0.8342496783,0.1568995104
2.065590554,0.00735445251,0.383089935,0.4013026401,2.877767113,5.708336025,-0.1842193473,-0.4549258078,-0.2844764117,-0.4355205255,1.993429008,1.774982999,-0.1112366063,0.2968797685,2.049639998
-0.3782810996,-1.194764904,-1.151279196,-1.151836083,0.1793547451,2.127935232,-0.7178295986,-0.6793266383,-0.7310663899,-0.5084945238,-0.444513126,-0.1724818186,-1.294439581,-1.070727496,-0.2388033347
0.1090276409,-0.9550619436,-0.8453255313,-0.842139756,0.7174189805,2.841868223,-0.8908923828,-0.6152121153,-0.5047941343,-0.4355205255,0.04161326655,0.21584325,-1.058508553,-0.7980261975,0.217512952
-1.413476309,-1.703968485,-1.801219864,-1.809727328,-0.9636609088,0.6113196834,-0.8187828894,-0.5510975923,-0.2279083478,-0.6179555213,-1.477196661,-0.9974049468,-1.795630407,-1.650029804,-1.20816094
-0.41858483,-1.214589961,-1.176583635,-1.177450065,0.1348531918,2.068888142,1.70504938,3.359888312,4.848331071,1.753699425,-0.4847190682,-0.2045989296,-1.313952674,-1.093281739,-0.2765437795
-1.084451309,-1.54212393,-1.59464363,-1.600624094,-0.60036641,1.093358651,-1.063955167,-0.8716702074,-0.9216114473,-0.8003905171,-1.148969968,-0.735212532,-1.636332615,-1.465905168,-0.9000616729
-0.4649951862,-1.237418814,-1.205722079,-1.206944953,0.08360897893,2.000894524,-0.5447668144,0.538849299,0.3556358903,-0.2530855296,-0.5310168199,-0.2415822694,-1.336422296,-1.119253291,-0.3200024734
-1.031690062,-1.516171128,-1.561517819,-1.567093063,-0.5421098311,1.170656659,-0.6889858012,-0.4549258078,-0.3827262069,-0.4355205255,-1.096336735,-0.6931683141,-1.610788203,-1.436379613,-0.8506559998
-0.143053873,-1.079058663,-1.003593292,-1.00234357,0.4390819926,2.472555518,-0.9197361802,-0.4869830693,-0.6536574604,-0.5997120217,-0.2098566267,0.01496531976,-1.180554078,-0.939092734,-0.01853637527
-0.7451671789,-1.375232997,-1.381626266,-1.385000937,-0.2257442431,1.590427786,-0.9053142815,-0.8716702074,-0.8620661169,-0.7274165188,-0.8105090365,-0.4648448527,-1.472067854,-1.276039451,-0.582355747
-0.9149313767,-1.458738539,-1.488211628,-1.492890134,-0.4131901797,1.341714288,-0.8476266868,-0.8075556844,-0.6923619252,-0.5814685221,-0.9798613387,-0.600126017,-1.554259365,-1.371040656,-0.741323075
-0.06171361706,-1.039048094,-0.9525243342,-0.9506498977,0.5288942183,2.59172328,-0.6312982065,-0.3266967617,-0.394635273,-0.4355205255,-0.1287137251,0.0797834891,-1.141173109,-0.8935741713,0.05763070416
0.638838497,-0.69445256,-0.512687186,-0.5054323206,1.302412127,3.618069055,-0.6168763078,-0.7113838998,-0.1951584161,-0.5632250225,0.5701386527,0.6380372719,-0.8020000824,-0.5015404247,0.7136282531
2.373364495,0.1587457957,0.5763238286,0.5969003204,3.217597157,6.159241072,-0.3140164355,0.2182766839,0.7069533399,-0.2895725288,2.300456203,2.020240937,0.03777246405,0.4691121677,2.337839758
-1.896738968,-1.927199703,-2.0118006,-2.005176262,-1.389375612,-0.9822360119,-0.7034076999,-0.2625822387,1.335156576,0.1482714612,-1.653173197,-1.406379435,-2.025910174,-1.594205695,-1.639643202
-1.347076979,-1.643656818,-1.582280612,-1.554299304,-0.684360183,-0.9822360119,-0.8476266868,0.09004763787,1.037429924,0.5496284521,-0.8264775075,-0.9900762367,-1.756433085,-0.9899223427,-1.105801566
-1.768107343,-1.860845138,-1.911284547,-1.899662261,-1.224388253,-0.9822360119,-0.4582354223,1.276166314,3.091743823,2.173299915,-1.459710283,-1.308956368,-1.96284728,-1.452791606,-1.514713849
-1.541016944,-1.74370066,-1.733830279,-1.713384457,-0.9331142727,-0.9822360119,-0.7322514973,-0.1664104542,0.028136573,-0.3625465271,-1.118164647,-1.136962558,-1.851514023,-1.203134634,-1.294159558
-1.403849579,-1.672942938,-1.626644179,-1.600868755,-0.757178678,-0.9822360119,-0.9341580789,-0.4869830693,-0.4184534052,-0.6909295196,-0.9118639167,-1.033074689,-1.7842664,-1.052336586,-1.160940139
-1.218246849,-1.577199855,-1.481609441,-1.448622473,-0.5191182135,-0.9822360119,-0.7322514973,0.05799037636,0.7694759368,-0.01592003501,-0.6327160404,-0.8925028254,-1.693272872,-0.8482900223,-0.9806794204
-2.105566852,-2.034923471,-2.17498407,-2.176473683,-1.657225461,-0.9822360119,-0.8043609907,-0.1984677157,0.09065916995,-0.4172770259,-1.967251877,-1.564541575,-2.128290057,-1.823785357,-1.84246061
-0.3172299599,-1.112410706,-0.7775317143,-0.7095359756,0.6365571325,-0.9822360119,-0.8187828894,-0.6152121153,-0.4333397378,-0.4902510242,0.7224200135,-0.2100903234,-1.251540657,0.1422632945,-0.1055955685
0.2225067489,-0.8339877724,-0.3557675947,-0.2668005303,1.328842056,-0.9822360119,-0.9918456736,-0.5510975923,-0.4690669361,-0.544981523,1.534188009,0.1986956631,-0.9869295327,0.7356350654,0.4186064568
0.0587396342,-0.9184669633,-0.4837394221,-0.4011354852,1.118788704,-0.9822360119,-0.8187828894,-0.6152121153,-0.4720442026,-0.3443030275,1.287881059,0.0746616657,-1.067217939,0.5555939801,0.2595528817
-0.6737460059,-1.296319345,-1.056122505,-1.001979102,0.1792773525,-0.9822360119,-0.6601420039,-0.03818140816,-0.1356130857,-0.4720075246,0.1862172479,-0.4801085771,-1.426326085,-0.2496806925,-0.4518503819
0.4676611568,-0.7075249836,-0.164197647,-0.0657051735,1.643285557,-0.9822360119,-0.5303449157,-0.07023866967,-0.2993627444,-0.07065053377,1.902902049,0.3843707986,-0.866740221,1.005151114,0.6567048391
0.9883413286,-0.4389323559,0.2426752055,0.361398568,2.311127908,-0.9822360119,-0.09768795523,-0.1984677157,-0.4095216056,0.1300279617,2.686008871,0.7787237381,-0.6114717477,1.57757265,1.162398812
0.3481607895,-0.7691691932,-0.2575783016,-0.163728983,1.490010263,-0.9822360119,-0.3428602328,-0.5190403308,-0.6060211961,-0.5084945238,1.723172614,0.2938635665,-0.925326428,0.87377568,0.5406439273
-0.3289417899,-1.118452248,-0.786683639,-0.7191429603,0.6215351353,-0.9822360119,-0.5303449157,-0.3908112848,-0.6774755926,-0.5267380234,0.7048053347,-0.2189606336,-1.257282495,0.129387629,-0.1169703091
0.5425034548,-0.8764326266,-0.5111262883,-0.6369951315,-0.005663932986,-0.9822360119,-0.6168763078,-0.7754984229,-0.5405213326,-0.5267380234,0.4650098071,1.024298674,-0.2482694944,0.6377502285,-0.6572812214
